납품처명,주소,위도,경도,상온중량,상온부피,상온박스,냉장중량,냉장부피,냉장박스,냉동중량,냉동부피,냉동박스,납품시작,납품종료,하역분,우선순위,고정
서울역점,서울 중구 한강대로 405,37.5547,126.9707,120,0.5,7,140,0.5,8,60,0.2,3,08:00,11:00,15,1,
강남역점,서울 강남구 강남대로 396,37.4979,127.0276,180,0.7,10,200,0.8,11,100,0.3,5,09:00,14:00,20,0,
잠실점,서울 송파구 올림픽로 265,37.5133,127.1000,220,0.9,12,250,1.0,14,140,0.5,7,08:30,12:00,25,1,
홍대입구점,서울 마포구 양화로 160,37.5572,126.9245,270,1.0,14,0,0,0,0,0,0,10:00,16:00,15,0,
여의도점,서울 영등포구 여의나루로 40,37.5215,126.9243,0,0,0,240,0.9,13,150,0.6,8,09:00,13:00,18,0,
왕십리점,서울 성동구 왕십리로 300,37.5613,127.0374,100,0.4,5,140,0.5,8,0,0,0,10:00,17:00,12,0,
신촌점,서울 서대문구 신촌로 83,37.5551,126.9368,110,0.4,6,110,0.4,6,80,0.3,4,09:30,15:00,15,0,
건대입구점,서울 광진구 아차산로 262,37.5404,127.0700,150,0.6,8,160,0.6,9,100,0.4,5,08:00,12:30,20,1,
사당점,서울 동작구 동작대로 3,37.4766,126.9816,0,0,0,200,0.8,11,150,0.5,8,10:00,16:00,15,0,
노원점,서울 노원구 노해로 480,37.6553,127.0614,200,0.8,11,200,0.8,11,120,0.4,6,11:00,17:00,22,0,
목동점,서울 양천구 목동동로 233,37.5260,126.8752,280,1.1,15,0,0,0,0,0,0,09:00,15:00,14,0,
수유점,서울 강북구 도봉로 338,37.6379,127.0255,130,0.5,7,200,0.7,11,0,0,0,10:30,17:00,16,0,
구로디지털점,서울 구로구 디지털로 300,37.4853,126.9016,150,0.6,8,180,0.7,10,120,0.4,6,08:30,13:00,20,0,
삼성점,서울 강남구 테헤란로 521,37.5089,127.0631,200,0.8,11,220,0.9,12,140,0.5,7,09:00,12:00,24,1,
상봉점,서울 중랑구 망우로 297,37.5966,127.0853,0,0,0,0,0,0,220,0.8,12,11:00,18:00,12,0,last
